部分,考试类型,问题类型,问答对,筛选后三元组
证书考试,全国中小学教师资格考试笔试,考试篇,问：中小学教师资格考试采用什么考试方式？答：考试分为笔试和面试两部分。笔试采用纸笔考试方式进行。具体考试方式将根据教育部教育考试院统一部署执行。面试采用结构化面试、情景模拟等方式进行，考生通过抽题、备课、试讲、答辩等环节，完成面试。笔试各科目考试时间为120分钟，面试考试时间为20分钟。,"['(全国中小学教师资格考试笔试, 包含, 笔试)', '(全国中小学教师资格考试笔试, 包含, 面试)', '(笔试, 采用, 纸笔考试方式)', '(中小学教师资格考试面试, 采用, 结构化面试)', '(面试, 采用, 情景模拟)', '(面试, 包含环节, 抽题)', '(面试, 包含环节, 备课)', '(面试, 包含环节, 试讲)', '(面试, 包含环节, 答辩)', '(全国中小学教师资格考试笔试, 各科目考试时长, 120分钟)', '(面试, 考试时间, 20分钟)', '(教育考试院, 部署, 笔试考试方式)', '(笔试, 考试时间, 120分钟)', '(面试, 考试时间, 20分钟)']"
证书考试,全国中小学教师资格考试笔试,考试篇,问：中小学教师资格考试笔试部分主要考核什么内容？答：笔试主要考核申请人从事教师职业所应具备的教育理念、职业道德和教育法律法规知识；科学文化素养和阅读理解、语言表达、逻辑推理和信息处理等基本能力；教育教学、学生指导和班级管理的基本知识；拟任教学科（专业）领域的基本知识，教学设计、实施、评价的知识和方法，运用所学知识分析和解决教育教学实际问题的能力。,"['(全国中小学教师资格考试笔试, 考核, 教育理念)', '(全国中小学教师资格考试笔试, 考核, 职业道德)', '(全国中小学教师资格考试笔试, 考核, 教育法律法规知识)', '(全国中小学教师资格考试笔试, 考核, 科学文化素养)', '(全国中小学教师资格考试笔试, 考核, 阅读理解能力)', '(全国中小学教师资格考试笔试, 考核, 语言表达能力)', '(全国中小学教师资格考试笔试, 考核, 逻辑推理)', '(全国中小学教师资格考试笔试, 考核, 信息处理能力)', '(全国中小学教师资格考试笔试, 考核, 教育教学的基本知识)', '(全国中小学教师资格考试笔试, 考核, 学生指导)', '(全国中小学教师资格考试笔试, 考核, 班级管理的基本知识)', '(全国中小学教师资格考试笔试, 考核, 评价的知识和方法)', '(全国中小学教师资格考试笔试, 考核, 分析和解决教育教学实际问题能力)']"
证书考试,全国中小学教师资格考试笔试,考试篇,问：中小学教师资格考试面试主要考核什么内容？答：面试主要考核申请人的职业道德、心理素质、仪表仪态、言语表达、思维品质等教师基本素养和教学设计、教学实施、教学评价等教学基本技能。根据上海市基础教育发展需要和教师队伍实际情况，适时在不同的教师资格种类中，增加相应的面试内容。中职专业课和中职实习指导教师资格以及初中、高中、中职文化课教师资格中的心理健康教育、日语、俄语三门学科，面试中先进行30分钟科目考试（考试形式为机考），然后再进行下一环节20分钟备课，科目考试题由通试题（20道）和专业题（30道）共50道题构成，题型全为单一选择题。科目考试成绩按30%计入面试总成绩。,[]
证书考试,全国中小学教师资格考试笔试,考试篇,问：“综合素质”主要考查哪些知识和能力？答：职业理念、教育法律法规、教师职业道德规范、文化素养和基本能力。,"['(全国中小学教师资格考试笔试, 包含, 综合素质)', '(综合素质, 考查, 职业理念)', '(综合素质, 考查, 教育法律法规)', '(综合素质, 考查, 教师职业道德规范)', '(综合素质, 考查, 文化素养)', '(综合素质, 考查, 基本能力)']"
证书考试,全国中小学教师资格考试笔试,考试篇,问：“保教知识与能力”主要考查哪些知识和能力？答：学前教育原理、学前儿童发展、生活指导、环境创设、游戏活动的指导、教育活动的组织与实施,"['(保教知识与能力, 是科目, 全国中小学教师资格考试笔试)', '(保教知识与能力, 考查, 学前教育原理)', '(保教知识与能力, 考查, 学前儿童发展)', '(保教知识与能力, 考查, 生活指导)', '(保教知识与能力, 考查, 环境创设)', '(保教知识与能力, 考查, 游戏活动的指导)', '(保教知识与能力, 考查, 教育活动的组织与实施)']"
证书考试,全国中小学教师资格考试笔试,考试篇,问：“教育教学知识与能力”（小学） 主要考查哪些知识和能力？答：教育基础、学生指导、班级管理、学科知识、教学设计、教学实施、教学评价。,[]
证书考试,全国中小学教师资格考试笔试,考试篇,问：“教育知识与能力” （中学）主要考查哪些知识和能力？答：教育基础知识和基本原理、中学教学、中学生学习心理、中学德育、中学课程、中学生发展心理、中学生心理辅导、中学班级管理与教师心理。,"['(证书考试, 包含, 全国中小学教师资格考试笔试)', '(教育知识与能力, 考查, 教育基础知识和基本原理)', '(教育知识与能力, 考查, 中学生学习心理)', '(教育知识与能力, 考查, 中学课程)', '(教育知识与能力, 考查, 中学生发展心理)', '(教育知识与能力, 考查, 中学生心理辅导)', '(教育知识与能力, 考查内容, 中学班级管理与教师心理)']"
证书考试,全国中小学教师资格考试笔试,考试篇,问：“学科知识与教学能力” 主要考查哪些知识和能力？答：每个学科的考试大纲根据本学科的特点制定，基本包含学科知识、教学设计、教学实施和教学评价的内容。,"['(全国中小学教师资格考试笔试, 包含科目, 学科知识与教学能力)', '(学科, 具有, 考试大纲)', '(考试大纲, 包含, 学科知识)', '(考试大纲, 包含, 教学设计)', '(考试大纲, 包含, 教学实施)', '(考试大纲, 包含, 教学评价)', '(学科知识与教学能力, 依据, 考试大纲)']"
证书考试,全国中小学教师资格考试笔试,考试篇,问：准考证如何获取与打印？答：报名结束后，考试院根据各区报名情况和考点设置情况随机完成考场编排，生成考生准考证。准考证由考生在规定时间内自行登录中小学教师资格考试网进行下载和打印，考生必须按照准考证上的时间、地点参加考试。注：2023年上半年下载时间3月6日—3月11日、下半年9月11日—9月16日。,"['(教育考试院, 生成, 准考证)', '(教育考试院, 编排, 考场)', '(考生, 下载并打印, 准考证)', '(中小学教师资格考试报名网站, 提供下载, 准考证)', '(中小学教师资格考试报名网站, 提供下载, 准考证)']"
证书考试,全国中小学教师资格考试笔试,考试篇,问：身份证遗失了，能参加考试吗？答：按照教育部教育考试院及上海市教育考试院要求，考生必须提供身份证原件或公安部门开具的临时身份证参加考试，准考证上的“姓名”和“证件号码”信息与所持上述身份证件上不一致者，不得参加考试。,"['(全国中小学教师资格考试笔试, 监管机构, 教育考试院)', '(全国中小学教师资格考试笔试, 遵循要求, 教育部教育考试院及上海市教育考试院)', '(临时身份证, 考试中可替代, 身份证原件)', '(全国中小学教师资格考试笔试, 必须提供, 身份证原件或公安部门开具的临时身份证)', '(全国中小学教师资格考试笔试, 必须提供, 临时身份证)']"
证书考试,全国中小学教师资格考试笔试,考试篇,问：个人信息在,"['(全国中小学教师资格考试笔试, 属于, 证书考试)', '(考试篇, 属于, 全国中小学教师资格考试笔试)']"
证书考试,全国中小学教师资格考试笔试,考试篇,问：香港/澳门/台湾在上海就读的在校生，参加考试需要持什么身份证件？  答：按照教育部教育考试院及上海市教育考试院要求，港澳台考生必须提供港澳台居民居住证或港澳居民来往内地通行证或台湾居民来往大陆通行证（五年有效期）进入考场，准考证上的“姓名”和“证件号码”信息与所持上述身份证件上不一致者，不得参加考试。,"['(在校生, 就读地, 上海)', '(全国中小学教师资格考试笔试, 要求证件, 港澳居民来往内地通行证)', '(准考证, 包含信息, 证件号码)', '(教育考试院, 制定要求, 全国中小学教师资格考试笔试)']"
证书考试,全国中小学教师资格考试笔试,考试篇,问：中小学教师资格考试采用什么考试方式？答：考试分为笔试和面试两部分。笔试采用纸笔考试方式进行。具体考试方式将根据教育部教育考试院统一部署执行。面试采用结构化面试、情景模拟等方式进行，考生通过抽题、备课、试讲、答辩等环节，完成面试。笔试各科目考试时间为120分钟，面试考试时间为20分钟。,[]
证书考试,全国中小学教师资格考试笔试,考试篇,问：中小学教师资格考试笔试和面试有哪些科目？ 答：（1）幼儿园中小学教师资格考试笔试科目一为“综合素质”，科目二为“保教知识与能力”。面试不分科目。（2）小学中小学教师资格考试笔试科目一为“综合素质”，科目二为“教育教学知识与能力”。面试科目：语文、数学、英语、社会、科学、体育、音乐、心理健康教育、信息技术，共10个学科。（3）初级中学教师资格和高级中学教师资格，考试笔试科目一为“综合素质”，科目二为“教育知识与能力”，科目三为“学科知识与教学能力”。初级中学教师资格面试科目：语文、数学、英语、思想品德（政治）、历史、地理、物理、化学、生物、音乐、体育与健康、美术、信息科技、历史与社会、科学、心理健康教育、日语、俄语，共18个学科。高级中学教师资格面试科目：语文、数学、英语、思想品德（政治）、历史、地理、物理、化学、生物、音乐、体育与健康、美术、信息科技、通用技术、心理健康教育、日语、俄语共17个学科。（4）申请中等职业学校文化课教师资格的人员笔试参加高级中学教师资格考试，面试科目同高级中学。（5）申请中等职业学校专业课和中等职业学校实习指导教师资格的人员笔试参加高级中学中小学教师资格考试“综合素质”和“教育知识与能力”两科考试。“专业（学科）知识与教学能力”考试，主要结合面试进行考查。,"['(幼儿园教师资格考试笔试, 科目一, 综合素质)', '(幼儿园, 笔试科目二名称, 保教知识与能力)', '(幼儿园教师资格考试, 面试科目, 不分科目)', '(小学教师资格考试, 笔试科目一, 综合素质)', '(小学, 面试科目包含, 语文)', '(小学, 面试科目包含, 数学)', '(小学教师资格考试, 面试科目包含, 英语)', '(小学, 面试科目包含, 社会)', '(小学, 面试科目包含, 科学)', '(小学教师资格考试, 面试科目, 体育)', '(小学, 面试科目, 音乐)', '(小学, 面试科目包含, 心理健康教育)', '(小学教师资格考试, 面试科目包含, 信息技术)', '(初级中学教师资格, 笔试科目一, 综合素质)', '(初级中学, 笔试科目二, 教育知识与能力)', '(初级中学教师资格, 科目三为, 学科知识与教学能力)', '(初级中学教师资格, 面试科目, 语文)', '(初级中学教师资格, 面试科目包含, 数学)', '(初级中学教师资格, 面试科目, 英语)', '(初级中学教师资格, 面试科目包含, 历史)', '(初级中学, 面试科目包含, 地理)', '(初级中学教师资格, 面试科目, 物理)', '(初级中学教师资格, 面试科目包含, 化学)', '(初级中学教师资格, 面试科目包含, 生物)', '(初级中学教师资格, 面试科目包含, 音乐)', '(初级中学教师资格, 面试科目包含, 体育与健康)', '(初级中学教师资格, 面试科目包含, 美术)', '(初级中学教师资格, 面试科目包含, 信息科技)', '(初级中学教师资格, 面试科目包含, 历史与社会)', '(初级中学, 面试科目包含, 科学)', '(初级中学教师资格, 面试科目包含, 心理健康教育)', '(初级中学, 面试科目, 日语)', '(初级中学教师资格, 包含科目, 俄语)', '(高级中学教师资格考试, 笔试科目一, 综合素质)', '(高级中学, 笔试科目二, 教育知识与能力)', '(高级中学教师资格, 笔试科目三, 学科知识与教学能力)', '(高级中学教师资格, 面试科目包含, 语文)', '(高级中学, 面试科目包含, 数学)', '(高级中学教师资格, 面试科目包含, 英语)', '(高级中学, 面试科目包含, 历史)', '(高级中学, 面试科目包含, 地理)', '(高级中学, 面试科目包含, 物理)', '(高级中学教师资格, 面试科目包含, 化学)', '(高级中学, 面试科目, 生物)', '(高级中学, 面试科目包含, 音乐)', '(高级中学教师资格, 面试科目包含, 体育与健康)', '(高级中学教师资格, 面试科目包含, 美术)', '(高级中学教师资格, 面试科目包含, 信息科技)', '(高级中学, 面试科目包含, 通用技术)', '(高级中学, 面试科目包含, 心理健康教育)', '(高级中学教师资格, 面试科目包含, 日语)', '(高级中学教师资格, 面试科目, 俄语)', '(中等职业学校文化课教师资格, 笔试参加, 高级中学教师资格考试)', '(中等职业学校文化课教师资格, 面试科目同于, 高级中学教师资格)', '(中等职业学校专业课教师资格, 笔试科目包含, 综合素质)', '(中等职业学校专业课教师资格, 笔试科目包含, 教育知识与能力)', '(中等职业学校实习指导教师资格, 笔试科目包含, 综合素质)', '(中等职业学校实习指导教师资格, 笔试科目包含, 教育知识与能力)', '(中等职业学校实习指导教师资格, 考试结合方式, 面试)']"
证书考试,全国中小学教师资格考试笔试,考试篇,问：考试成绩如何确定？答：笔试成绩合格线由教育部确定。笔试单科合格成绩两年有效。笔试各科成绩合格者，方可参加面试。上海市教育委员会确定面试合格成绩。笔试和面试合格后由教育部教育考试院颁发中小学教师资格考试合格证明（如有需要，考生可自行通过中小学教师资格考试网（ntce.neea.edu.cn）查询、打印“网页版”考试合格证明），作为申请认定教师资格的必要条件。,"['(教育部, 确定, 笔试成绩合格线)', '(笔试单科合格成绩, 有效期, 两年)', '(笔试各科成绩合格者, 可参加, 面试)', '(上海市教育委员会, 确定, 面试合格成绩)', '(教育考试院, 颁发, 中小学教师资格考试合格证明)', '(申请认定教师资格, 必要条件, 中小学教师资格考试合格证明)', '(中小学教师资格考试报名网站, 提供查询服务, 中小学教师资格考试合格证明)', '(中小学教师资格考试报名网站, 支持打印, 中小学教师资格考试合格证明)']"
证书考试,全国计算机等级考试（NCRE),结果篇,问：在外省通过中小学教师资格证部分科目考试，到上海是否需要重新报考？答：可以。只要成绩在有效期内，笔试合格成绩全国通用。考生只要选择本人的户籍、居住证、学籍所在地继续报名未通过的科目即可，成绩的合并由教育部教育考试院负责。,"['(全国中小学教师资格考试笔试, 包含, 科目考试)', '(户籍所在地, 允许选择作为报名地点, 未通过的科目)', '(教育考试院, 负责, 成绩的合并)']"
证书考试,全国计算机等级考试（NCRE),结果篇,问：笔试成绩在哪里查询？答：考生自行登录报名系统中小学教师资格考试官网（http://ntce.neea.edu.cn/）成绩查询界面查询。,"['(全国计算机等级考试, 简称, NCRE)', '(笔试成绩, 查询入口, 中小学教师资格考试官网成绩查询界面)', '(笔试成绩, 查询入口, 中小学教师资格考试官网成绩查询界面)']"
证书考试,全国计算机等级考试（NCRE),结果篇,问：中小学教师资格考试如何查询成绩？答：一般考试结束后30个工作日开放查询成绩，具体时间以报名文件为准，届时考生可通过中小学教师资格网（http://ntce.neea.edu.cn）自行查询本人成绩。 注：2023年上半年4月13日19点、下半年11月8日10点。,"['(全国中小学教师资格考试笔试, 查询时间依据, 报名文件)', '(全国中小学教师资格考试笔试, 成绩查询入口, 中小学教师资格考试报名网站)', '(全国中小学教师资格考试笔试, 成绩查询开放时间, 2023年上半年4月13日19点)']"
证书考试,全国计算机等级考试（NCRE),结果篇,问：中小学教师资格考试笔试如何成绩复核？答：考生在笔试成绩公布后，如对本人的考试成绩有异议，可在考试成绩公布后10个工作日内登录上海市教育考试院网站（http://www.shmeea.edu.cn）申请网上成绩复核。成绩复核只核查考生答卷是否有漏评、加分错、登分错，不重新评阅答卷；复核结果只向考生提供所复核科目成绩总分，不得查阅答卷。上海市教育考试院负责收集复核考生申请信息，教育部教育考试院负责统一进行成绩复核工作。如果考生因成绩复核结果反馈延误了面试报名，教育部教育考试院将给考生开放面试补报名通道。注：2023年上半年复核时间4月14日10:00至4月27日10:00期间、下半年11月8日10:00至11月22日10:00期间。,"['(全国中小学教师资格考试笔试, 可申请, 成绩复核)', '(中小学教师资格考试考生, 申请, 成绩复核)', '(教育考试院, 负责统一进行, 成绩复核)', '(教育考试院, 开放, 面试补报名通道)', '(面试补报名通道, 用于补救, 面试报名延误)']"
证书考试,全国计算机等级考试（NCRE),结果篇,问：中小学教师资格考试笔试、面试考试合格证明有限期多长？答：笔试单科成绩有效期为2年，笔试各科成绩合格并在有效期内方可参加面试，笔试和面试的均合格者由教育部教育考试院颁发教师资格考试合格证明，教师资格考试合格证明有效期为3年。,"['(全国中小学教师资格考试笔试, 包含, 笔试)', '(全国中小学教师资格考试笔试, 包含, 面试考试)', '(笔试单科成绩, 有效期, 两年)', '(教师资格考试合格证明, 有效期, 3年)', '(教育考试院, 颁发, 教师资格考试合格证明)']"
证书考试,全国计算机等级考试（NCRE),结果篇,问：考试合格证明如何获取？答：考生经笔试和面试均合格后，可自行登录中小学教师资格考试网（http://ntce.neea.edu.cn）查询、打印“网页版”考试合格证明，提供给相关认定机构使用，有效期以考试合格证明上标示的时间为准。,"['(全国计算机等级考试, 缩写为, NCRE)', '(全国计算机等级考试, 属于, 证书考试)', '(考试合格证明, 获取条件, 笔试和面试均合格)', '(考试合格证明, 获取条件, 笔试和面试均合格)', '(考试合格证明, 形式, 网页版)', '(考试合格证明, 有效期依据, 考试合格证明上标示的时间)', '(考试合格证明, 提供给, 相关认定机构)', '(考生, 查询并打印, 考试合格证明)']"
证书考试,全国计算机等级考试（NCRE),结果篇,问：教师资格如何申请认定？答：通过中小学教师资格考试，笔试、面试均合格且在有效期内考生，可于每年2-3月期间、8月下旬关注上海市教师教育学院主办的上海教育人才网（https://shehr.shec.edu.cn/）中相关教师资格认定条件与申请流程公告，符合条件的考生可在每年上、下半年规定时间内登录上海市人民政府一网通办（http://zwdt.sh.gov.cn/govPortals/index.do），申请教师资格认定。2023年全国英语等级考试上海考区停考。,[]
证书考试,全国计算机等级考试（NCRE),报名篇,问：全国计算机等级考试的报考资格？答：报名者不受年龄、职业、学历等限制，均可根据自己学习情况和实际能力选考相应的级别和科目。,"['(全国计算机等级考试, 简称, NCRE)', '(报名者, 可报考, 全国计算机等级考试)', '(全国计算机等级考试, 报考资格不受限制, 学历)', '(全国计算机等级考试报名者, 选考, 级别和科目)', '(报名者, 选考, 科目)']"
证书考试,全国计算机等级考试（NCRE),报名篇,问：全国计算机等级考试时间？答：上海考区考试时间一般为每年3月、9月、12月。具体考试时间请关注“上海招考热线”网站（http://www.shmeea.edu.cn）相关公告。注：2023年报名时间：3月2日至5日每天10:00-16:00；8月31日至9月4日每天10:00-16:00；11月2日至4日每天10:00-16:00。,"['(全国计算机等级考试, 简称, NCRE)', '(全国计算机等级考试2023年报名时间, 包含, 11月2日至4日)', '(上海考区, 官方网站, 上海招考热线网站)']"
证书考试,全国计算机等级考试（NCRE),报名篇,问：全国计算机等级考试怎么报名？答：考生可访问统一的报名网址（教育网：https://ncre-bm.neea.edu.cn；公网：https://ncre-bm.neea.cn；），选择“上海市”入口进入登录页面，按照相关提示完成账号注册、信息填写、照片上传、缴费等网报步骤。首次登录系统需要注册获取登录通行证，若考生已有通行证账号，可以直接登录报名。,"['(NCRE, 全称, 全国计算机等级考试)', '(考生, 访问, 统一的报名网址)', '(考生, 选择报名入口, 上海)', '(网报步骤, 包括, 账号注册)', '(网报步骤, 包含步骤, 信息填写)', '(全国计算机等级考试网报步骤, 包括, 照片上传)', '(账号注册, 生成, 登录通行证)']"
证书考试,全国计算机等级考试（NCRE),报名篇,问：全国计算机等级考试费用每科多少？答：2023年每科目105元。,"['(全国计算机等级考试, 英文缩写, NCRE)', '(全国计算机等级考试, 2023年每科目费用, 105元)']"
证书考试,全国计算机等级考试（NCRE),报名篇,问：全国计算机等级考试错过报名时间，是否可以补报名？答：错过报名时间，不能补报名。,"['(全国计算机等级考试, 缩写为, NCRE)', '(全国计算机等级考试, 不支持, 补报名)']"
证书考试,全国计算机等级考试（NCRE),报名篇,问：全国计算机等级考试报名缴费后不想参加考试，可以退费吗？答：因自身原因无法参加考试的考生不能申请退费。,[]
证书考试,全国计算机等级考试（NCRE),报名篇,问：证书有一级至四级，报考各级别证书有要求吗？答：不需要，一级、二级、三级证书获取需要对应科目考试合格。四级证书获取需要该科目成绩达到合格线，并已经（或同时）获得对应的三级相关证书。,"['(全国计算机等级考试, 简称, NCRE)', '(全国计算机等级考试证书, 包含级别, 一级至四级)', '(全国计算机等级考试证书, 分为等级, 一级至四级)', '(全国计算机等级考试证书, 分为级别, 一级至四级)', '(一级, 获取条件, 科目考试合格)', '(二级, 获取条件, 科目考试合格)', '(三级, 获取条件, 科目考试合格)', '(四级, 获取条件, 成绩达到合格线并已获得对应的三级相关证书)', '(四级证书, 需要, 对应的三级相关证书)']"
证书考试,全国计算机等级考试（NCRE),报名篇,问：取得一、二、三、四级证书是需要考试通过各级别下所有科目的考试吗？答：不需要，取得的证书仅需当前级别科目满足获证条件即可。证书上有注明获证科目和级别。,"['(全国计算机等级考试, 属于, 证书考试)', '(NCRE, 全称是, 全国计算机等级考试)', '(全国计算机等级考试四级证书, 需满足, 获证条件)', '(证书, 注明, 获证科目和级别)', '(全国计算机等级考试证书, 注明, 获证科目和级别)', '(获证条件, 涉及, 科目)']"
证书考试,全国计算机等级考试（NCRE),报名篇,问：全国计算机等级考试有几个级别？ 答：,"['(NCRE, 缩写, 全国计算机等级考试)']"
证书考试,全国计算机等级考试（NCRE),报名篇,问：全国计算机等级考试有几个级别？答：级别：一级，科目名称：计算机基础及WPS Office应用，科目代码：14，考试时间：90分钟，考核课程代码：114，获证条件：科目14考试合格,
证书考试,全国计算机等级考试（NCRE),报名篇,问：全国计算机等级考试有几个级别？答：级别：一级，科目名称：计算机基础及MS Office应用，科目代码：15，考试时间：90分钟，考核课程代码：115，获证条件：科目15考试合格,
证书考试,全国计算机等级考试（NCRE),报名篇,问：全国计算机等级考试有几个级别？答：级别：一级，科目名称：计算机基础及Photoshop应用，科目代码：16，考试时间：90分钟，考核课程代码：116，获证条件：科目16考试合格,
证书考试,全国计算机等级考试（NCRE),报名篇,问：全国计算机等级考试有几个级别？答：级别：一级，科目名称：网络安全素质教育，科目代码：17，考试时间：90分钟，考核课程代码：117，获证条件：科目17考试合格,
证书考试,全国计算机等级考试（NCRE),报名篇,问：全国计算机等级考试有几个级别？答：级别：二级，科目名称：C语言程序设计，科目代码：24，考试时间：120分钟，考核课程代码：201、224，获证条件：科目24考试合格,
证书考试,全国计算机等级考试（NCRE),报名篇,问：全国计算机等级考试有几个级别？答：级别：二级，科目名称：Java语言程序设计，科目代码：28，考试时间：120分钟，考核课程代码：201、228，获证条件：科目28考试合格,
证书考试,全国计算机等级考试（NCRE),报名篇,问：全国计算机等级考试有几个级别？答：级别：二级，科目名称：Access数据库程序设计，科目代码：29，考试时间：120分钟，考核课程代码：201、229，获证条件：科目29考试合格,
证书考试,全国计算机等级考试（NCRE),报名篇,问：全国计算机等级考试有几个级别？答：级别：二级，科目名称：C++语言程序设计，科目代码：61，考试时间：120分钟，考核课程代码：201、261，获证条件：科目61考试合格,
证书考试,全国计算机等级考试（NCRE),报名篇,问：全国计算机等级考试有几个级别？答：级别：二级，科目名称：MySQL数据库程序设计，科目代码：63，考试时间：120分钟，考核课程代码：201、263，获证条件：科目63考试合格,
证书考试,全国计算机等级考试（NCRE),报名篇,问：全国计算机等级考试有几个级别？答：级别：二级，科目名称：Web程序设计，科目代码：64，考试时间：120分钟，考核课程代码：201、264，获证条件：科目64考试合格,
证书考试,全国计算机等级考试（NCRE),报名篇,问：全国计算机等级考试有几个级别？答：级别：二级，科目名称：MS Office高级应用与设计，科目代码：65，考试时间：120分钟，考核课程代码：201、265，获证条件：科目65考试合格,
证书考试,全国计算机等级考试（NCRE),报名篇,问：全国计算机等级考试有几个级别？答：级别：二级，科目名称：Python语言程序设计，科目代码：66，考试时间：120分钟，考核课程代码：201、266，获证条件：科目66考试合格,
证书考试,全国计算机等级考试（NCRE),报名篇,问：全国计算机等级考试有几个级别？答：级别：二级，科目名称：WPS Office高级应用与设计，科目代码：67，考试时间：120分钟，考核课程代码：201、267，获证条件：科目67考试合格,
证书考试,全国计算机等级考试（NCRE),报名篇,问：全国计算机等级考试有几个级别？答：级别：二级，科目名称：openGauss数据库程序设计，科目代码：68，考试时间：120分钟，考核课程代码：201、268，获证条件：科目68考试合格,
证书考试,全国计算机等级考试（NCRE),报名篇,问：全国计算机等级考试有几个级别？答：级别：三级，科目名称：网络技术，科目代码：35，考试时间：120分钟，考核课程代码：335，获证条件：科目35考试合格,
证书考试,全国计算机等级考试（NCRE),报名篇,问：全国计算机等级考试有几个级别？答：级别：三级，科目名称：数据库技术，科目代码：36，考试时间：120分钟，考核课程代码：336，获证条件：科目36考试合格,
证书考试,全国计算机等级考试（NCRE),报名篇,问：全国计算机等级考试有几个级别？答：级别：三级，科目名称：信息安全技术，科目代码：38，考试时间：120分钟，考核课程代码：338，获证条件：科目38考试合格,
证书考试,全国计算机等级考试（NCRE),报名篇,问：全国计算机等级考试有几个级别？答：级别：三级，科目名称：嵌入式系统开发技术，科目代码：39，考试时间：120分钟，考核课程代码：339，获证条件：科目39考试合格,
证书考试,全国计算机等级考试（NCRE),报名篇,问：全国计算机等级考试有几个级别？答：级别：四级，科目名称：网络工程师，科目代码：41，考试时间：90分钟，考核课程代码：401、403，获证条件：获得科目35证书，科目41考试合格,
证书考试,全国计算机等级考试（NCRE),报名篇,问：全国计算机等级考试有几个级别？答：级别：四级，科目名称：数据库工程师，科目代码：42，考试时间：90分钟，考核课程代码：401、404，获证条件：获得科目36证书，科目42考试合格,
证书考试,全国计算机等级考试（NCRE),报名篇,问：全国计算机等级考试有几个级别？答：级别：四级，科目名称：信息安全工程师，科目代码：44，考试时间：90分钟，考核课程代码：401、403，获证条件：获得科目38证书，科目44考试合格,
证书考试,全国计算机等级考试（NCRE),报名篇,问：全国计算机等级考试有几个级别？答：级别：四级，科目名称：嵌入式系统开发工程师，科目代码：45，考试时间：90分钟，考核课程代码：401、402，获证条件：获得科目39证书，科目45考试合格,
证书考试,全国计算机等级考试（NCRE),报名篇,问：在上海报名后，因工作要出差，是否也可以在外省市报名？答：考生每次报考期内只能选择在一个省份一个报考点内报考。,"['(全国计算机等级考试, 缩写, NCRE)', '(上海, 属于, 省份)']"
证书考试,全国计算机等级考试（NCRE),报名篇,问：报名考试后因为工作原因不想考了，如何申请退费？答：报名协议内有标注：考生本人理解并同意，在报名成功后，由于考生个人原因而无法参加考试，由考生个人承担相关责任，教育部教育考试院不进行退费。,[]
